,anime_id,name,genre,type,episodes,rating,members
24,164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556
25,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297
26,17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959
27,21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.8,101351
28,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030
29,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962
30,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487
31,32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.76,38865
32,5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995
33,28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,8.75,32266
34,11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.75,98431
35,431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,8.74,333186
36,11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,8.73,340973
37,31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,8.73,34347
38,19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,8.72,247562
39,12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620
40,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917
41,32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,8.69,16947
42,30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25.0,8.68,176475
43,20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498
44,19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756
45,4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.68,111074
46,10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.67,102322
47,22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187
48,21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.66,49036
49,31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,8.65,402381
50,7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11.0,8.65,122531
51,3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,8.64,56162
52,30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422
53,6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,8.64,139474
54,31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,8.64,355839
55,4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,8.64,82253
56,5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.64,114173
57,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11.0,8.62,463835
58,24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525
59,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1.0,8.61,192424
60,10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,8.61,197439
61,28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24.0,8.61,348951
62,32995,Yuri!!! on Ice,"Comedy, Sports",TV,12.0,8.61,103178
63,21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,8.6,11104
64,26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,8.6,93657
65,7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,8.59,51185
66,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,8.59,297454
67,22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,8.59,425457
68,28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13.0,8.59,71295
69,12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958
70,28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1.0,8.58,80825
71,578,Hotaru no Haka,"Drama, Historical",Movie,1.0,8.58,174878
72,16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325
73,5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653
74,21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,inf,8.58,504862
75,801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,8.57,113993
76,31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,8.57,74074
77,5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.57,95658
78,17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39.0,8.57,31234
79,170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570
80,10162,Usagi Drop,"Josei, Slice of Life",TV,11.0,8.56,194855
81,18617,Girls und Panzer der Film,"Military, School",Movie,1.0,8.55,25641
82,32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,8.55,193716
83,877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256
84,2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,8.54,363215
85,24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.54,34011
86,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,8.54,896229
87,10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561
88,5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108
89,30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,8.53,28864
90,3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1.0,8.53,182224
91,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376
92,12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,8.53,44223
93,14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.52,86074
94,10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13.0,8.51,453630
95,14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,8.51,190197
96,9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12.0,8.51,462974
97,10165,Nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436
98,13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,8.5,509109
99,22789,Barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927
100,30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531
101,18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,8.5,245026
102,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.5,135735
103,11917,Major: World Series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405
104,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,8.5,390076
105,32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13.0,8.5,185015
106,6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,8.49,207241
107,11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.49,85361
108,7655,Major S6,"Comedy, Drama, Sports",TV,25.0,8.49,24788
109,2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,8.49,88850
110,25835,Shirobako,"Comedy, Drama",TV,24.0,8.49,146895
111,2921,Ashita no Joe 2,"Drama, Sports",TV,47.0,8.48,6259
112,136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,8.48,166255
113,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,8.48,299434
114,12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12.0,8.48,146592
115,523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1.0,8.48,271484
116,467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,8.47,194491
117,572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1.0,8.47,143273
118,19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,8.47,602291
119,2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,8.47,15074
120,392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,8.47,195017
121,486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13.0,8.46,102822
122,11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315
123,1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025
124,5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12.0,8.46,210491
125,25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,8.45,92543
126,10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1.0,8.46,159548
127,28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,8.45,205987
128,5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50.0,8.45,36751
129,9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1.0,8.45,99579
130,32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,8.45,215630
131,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817
132,2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,8.44,289206
133,2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,8.44,57963
134,31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855
135,45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,8.43,218928
136,2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,8.43,125503
137,1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1.0,8.42,28462
138,22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,8.42,267484
139,627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061
140,10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,8.42,15420
141,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24.0,8.42,331627
142,4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.42,210736
143,4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.42,85020
144,1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24.0,8.41,218101
145,137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.41,53168
146,139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14.0,8.41,55787
147,23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2.0,8.41,67261
148,558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26.0,8.41,30689
149,5040,One Outs,"Psychological, Seinen, Sports",TV,25.0,8.41,83056
150,57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,8.4,148328
151,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,8.4,226430
152,5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,8.4,137636
153,1842,Major S3,"Drama, Shounen, Sports",TV,26.0,8.4,29528
154,6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.0,8.4,42076
155,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1.0,8.4,28302
156,1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24.0,8.4,291228
157,338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40.0,8.4,32188
158,13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24.0,8.4,380375
159,6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13.0,8.39,717796
160,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15.0,8.39,482268
161,32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12.0,8.39,83641
162,264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1.0,8.39,47840
163,12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.39,76051
164,853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,8.39,422271
165,5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1.0,8.38,21798
166,6746,Durarara!!,"Action, Mystery, Supernatural",TV,24.0,8.38,556431
167,5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11.0,8.38,67697
168,329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26.0,8.38,105044
169,34240,Shelter,"Music, Sci-Fi",Music,1.0,8.38,71136
170,513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1.0,8.38,151061
171,6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1.0,8.37,27213
172,1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12.0,8.37,61493
173,6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26.0,8.37,99128
174,16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1.0,8.37,45547
175,1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203.0,8.37,258103
176,22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10.0,8.37,122895
177,2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13.0,8.37,334932
178,31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13.0,8.36,282002
179,19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11.0,8.36,67032
180,18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13.0,8.36,71820
181,9890,Major: Message,"Comedy, Drama, Sports",OVA,1.0,8.36,12282
182,9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13.0,8.36,27532
183,9863,SKET Dance,"Comedy, School, Shounen",TV,77.0,8.36,101027
184,7674,Bakuman.,"Comedy, Romance, Shounen",TV,25.0,8.35,246899
185,11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12.0,8.35,258914
186,16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1.0,8.35,189741
187,28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1.0,8.35,59815
188,3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26.0,8.35,28002
189,21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1.0,8.35,53590
190,31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1.0,8.34,31856
191,43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,8.34,223036
192,9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1.0,8.34,115252
193,31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1.0,8.34,22900
194,10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1.0,8.34,13315
195,1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1.0,8.34,58492
196,32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1.0,8.34,38147
197,3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13.0,8.34,74941
198,12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,8.33,65594
199,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12.0,8.33,383914
200,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,8.33,600384
201,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26.0,8.33,98996
202,138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.33,57029
203,6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1.0,8.33,109392
204,10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.32,158561
205,32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1.0,8.32,6229
206,813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291.0,8.32,375662
207,27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1.0,8.32,106382
208,28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1.0,8.32,59652
209,585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1.0,8.32,94435
210,16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26.0,8.32,224947
211,30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26.0,8.32,461946
212,31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.32,18642
213,759,Tokyo Godfathers,"Comedy, Drama",Movie,1.0,8.32,89424
214,6,Trigun,"Action, Comedy, Sci-Fi",TV,26.0,8.32,283069
215,6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2.0,8.32,36353
216,9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1.0,8.31,14002
217,11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.31,88164
218,11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,8.31,69253
219,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13.0,8.31,222994
220,33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1.0,8.31,35120
221,962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26.0,8.3,39596
222,1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12.0,8.3,203233
223,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23.0,8.3,566690
224,16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12.0,8.3,142612
225,5681,Summer Wars,"Comedy, Sci-Fi",Movie,1.0,8.3,223359
226,3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3.0,8.29,100412
227,6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1.0,8.29,20602
228,10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26.0,8.29,55566
229,22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4.0,8.29,19702
230,3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12.0,8.29,56927
231,19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,8.29,17247
232,33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120.0,8.29,47092
233,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1.0,8.28,60637
234,265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1.0,8.28,40623
235,25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12.0,8.28,91796
236,4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25.0,8.28,134818
237,24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24.0,8.28,50778
238,239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24.0,8.27,103828
239,512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1.0,8.27,152331
240,4477,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11.0,8.27,70822
241,15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,8.27,24707
242,31174,Osomatsu-san,"Comedy, Parody",TV,25.0,8.27,60988
243,23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13.0,8.27,60918
244,5365,Tsumiki no Ie,Drama,Movie,1.0,8.27,45189
245,3702,Detroit Metal City,"Comedy, Music",OVA,12.0,8.26,104893
